warehouse_width,warehouse_height,rack_count,order_size,seed,nn_distance,nn_time_ms,ga_distance,ga_time_ms,improvement_pct,ga_better
10,10,35,5,42,24,0.4288999999744192,24,1499.6635999999626,0.0,False
10,10,35,5,123,30,0.6177000000207045,30,4021.6156000000183,0.0,False
10,10,35,5,456,44,1.922699999965971,38,4258.593399999995,13.636363636363635,True
10,10,35,8,42,58,1.681500000017877,44,5649.270300000012,24.137931034482758,True
10,10,35,8,123,44,2.380599999980859,42,5412.348100000031,4.545454545454546,True
10,10,35,8,456,50,3.008399999998801,46,5963.669200000027,8.0,True
10,10,35,10,42,58,4.731900000024325,56,8320.827500000007,3.4482758620689653,True
10,10,35,10,123,46,2.916400000003705,44,9525.161999999966,4.3478260869565215,True
10,10,35,10,456,50,4.269200000010187,48,6633.065600000009,4.0,True
10,10,35,12,42,58,3.555599999970127,54,13158.282799999995,6.896551724137931,True
10,10,35,12,123,48,3.491699999983666,46,15860.994300000017,4.166666666666666,True
10,10,35,12,456,62,3.845200000000659,54,10240.875800000027,12.903225806451612,True
10,10,35,15,42,64,6.518300000038835,68,12916.549499999974,-6.25,False
10,10,35,15,123,58,8.52569999995012,66,18736.71630000001,-13.793103448275861,False
10,10,35,15,456,58,7.071899999914422,56,20529.25540000001,3.4482758620689653,True
15,15,70,5,42,50,1.219799999944371,38,5886.8645000000015,24.0,True
15,15,70,5,123,46,1.0167000000365078,44,6003.980900000101,4.3478260869565215,True
15,15,70,5,456,50,1.556000000050517,48,6652.89359999997,4.0,True
15,15,70,8,42,46,3.9752999999791427,46,7326.0607999999365,0.0,False
15,15,70,8,123,68,2.9858999999987645,58,8296.737099999973,14.705882352941178,True
15,15,70,8,456,56,6.59080000002632,54,11703.886899999929,3.571428571428571,True
15,15,70,10,42,56,4.499600000031023,56,11016.787899999941,0.0,False
15,15,70,10,123,70,4.623600000059014,62,14425.975700000094,11.428571428571429,True
15,15,70,10,456,60,9.352400000011585,58,21582.349000000024,3.3333333333333335,True
15,15,70,12,42,60,5.649299999959112,58,18557.0467,3.3333333333333335,True
15,15,70,12,123,76,13.205300000095122,68,33236.417000000074,10.526315789473683,True
15,15,70,12,456,70,14.763699999889468,66,19560.192400000007,5.714285714285714,True
15,15,70,15,42,78,8.22440000001734,66,33523.831200000015,15.384615384615385,True
15,15,70,15,123,84,12.18570000003183,80,26350.813000000016,4.761904761904762,True
15,15,70,15,456,74,11.824199999978191,82,41845.71620000008,-10.81081081081081,False
20,20,140,5,42,50,1.4913999999635053,50,7564.358800000036,0.0,False
20,20,140,5,123,76,2.411100000017541,76,12252.273400000035,0.0,False
20,20,140,5,456,72,3.265299999952731,72,13676.425800000061,0.0,False
20,20,140,8,42,112,17.68949999996039,96,16244.985100000009,14.285714285714285,True
20,20,140,8,123,92,4.474100000038561,90,19409.565199999975,2.1739130434782608,True
20,20,140,8,456,86,11.33849999996528,90,14836.935499999981,-4.651162790697675,False
20,20,140,10,42,118,10.25440000000799,96,29389.29660000008,18.64406779661017,True
20,20,140,10,123,94,12.147400000003472,92,46626.94690000001,2.127659574468085,True
20,20,140,10,456,92,18.579999999928987,96,28478.131899999993,-4.3478260869565215,False
20,20,140,12,42,120,12.246200000049612,110,39371.097799999916,8.333333333333332,True
20,20,140,12,123,106,12.402299999848765,104,46006.146599999964,1.8867924528301887,True
20,20,140,12,456,96,40.66859999988992,96,34245.49000000002,0.0,False
20,20,140,15,42,128,42.174100000011094,124,35320.4584,3.125,True
20,20,140,15,123,146,20.98230000001422,120,73307.13689999992,17.80821917808219,True
20,20,140,15,456,100,27.061099999855287,144,52955.92099999999,-44.0,False
